Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
1,1,52,47,1,10,70,70
1,1,61,1,1,5,23,23
1,1,11,84,1,8,40,40
1,1,11,84,1,16,16,32
1,1,23,85,1,8,40,40
1,1,61,1,1,5,26,26
1,1,92,1,1,6,38,38
1,1,95,47,1,5,10,10
1,1,61,1,1,6,37,37
1,1,92,1,1,3,21,21
1,1,92,1,2,8,32,32
1,1,92,1,2,8,32,32
1,1,92,1,2,8,32,32
1,1,93,42,2,8,16,16
1,1,83,49,2,8,48,48
1,1,92,1,2,1,3,3
1,1,61,1,2,8,24,24
1,1,52,47,2,10,10,10
1,1,52,47,2,10,10,10
1,1,61,1,2,8,56,56
1,1,52,47,1,5,35,35
1,1,83,49,1,8,56,56
1,1,91,96,1,8,56,56
1,1,92,1,2,8,16,16
1,1,91,96,3,2,6,6
1,1,93,42,2,8,48,48
1,1,61,1,2,6,12,12
1,1,41,84,1,8,56,56
1,1,61,1,2,8,56,56
1,1,54,80,1,12,48,48
1,1,52,47,1,11,79,79
1,1,93,41,2,8,48,48
1,1,93,41,2,8,40,40
1,1,61,1,2,2,14,14
1,1,92,1,2,8,16,16
1,1,93,41,2,8,48,48
1,1,52,47,1,8,56,56
1,1,83,49,1,8,48,48
1,1,52,47,2,2,8,8
1,1,61,1,2,8,56,56
1,1,92,1,2,8,32,32
1,1,32,84,2,8,40,47
1,1,51,56,2,8,16,16
1,1,94,56,2,8,16,16
1,1,81,16,3,3,6,6
1,1,34,90,2,5,20,20
1,1,14,47,1,8,56,56
1,1,93,47,1,8,56,56
1,1,52,56,2,2,14,14
1,1,52,56,2,2,14,14
1,1,33,84,1,8,40,40
1,1,83,49,2,5,30,30
1,1,91,96,2,3,6,6
1,1,93,41,2,8,48,48
1,1,93,41,2,8,48,48
1,1,93,41,2,8,48,48
1,1,62,3,2,12,12,12
1,1,62,3,2,12,12,12
1,1,52,47,2,5,5,5
1,1,93,41,2,8,48,48
1,1,71,41,2,8,48,48
1,1,72,45,1,8,40,40
1,1,23,85,1,8,40,40
1,1,51,56,2,8,48,48
1,1,83,49,2,8,56,56
1,1,32,84,2,2,4,4
1,1,93,41,2,8,16,16
1,1,41,55,2,8,40,40
1,1,93,41,2,8,40,40
1,1,61,1,2,4,28,28
1,1,52,47,2,12,84,84
1,1,52,61,2,12,12,12
1,1,71,41,2,8,48,48
1,1,52,47,2,2,2,2
1,1,93,41,2,8,32,32
1,1,41,82,2,8,40,40
