Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
19,1,52,47,1,7,49,49
19,1,92,1,2,6,36,40
19,1,92,1,2,6,36,40
19,1,92,1,2,6,36,40
19,1,61,1,1,6,36,40
19,1,92,1,1,6,36,40
19,1,92,1,2,6,36,40
19,1,23,85,1,8,40,40
19,1,23,85,1,8,40,40
19,1,61,1,1,6,36,36
19,1,61,1,1,6,36,36
19,1,23,85,1,8,40,40
19,1,92,1,2,6,36,40
19,1,92,1,2,6,36,40
19,1,83,49,1,6,42,42
19,1,61,1,1,5,30,30
19,1,92,1,2,5,25,25
19,1,61,1,1,5,30,30
19,1,95,47,1,7,42,42
19,1,61,1,1,6,36,40
19,1,61,1,1,6,42,42
19,1,61,1,1,7,42,42
19,1,52,47,1,7,42,42
19,1,71,16,1,7,42,42
19,1,52,47,1,7,49,49
19,1,93,47,1,7,42,42
19,1,61,1,1,7,42,42
19,1,61,1,1,6,36,40
19,1,61,1,1,7,42,42
19,1,52,47,1,7,49,49
19,1,61,1,1,6,36,40
19,1,61,1,1,6,36,40
19,1,71,16,1,7,42,42
19,1,61,1,1,6,36,40
19,1,61,1,1,7,42,42
19,1,61,1,1,6,36,40
19,1,92,1,2,5,30,40
19,1,61,1,1,7,42,42
19,1,61,1,1,6,36,40
19,1,92,1,1,7,42,42
19,1,83,49,1,7,42,42
19,1,61,1,1,6,42,42
19,1,92,1,1,6,36,36
19,1,23,85,1,8,40,40
19,1,61,1,1,7,42,42
19,1,52,47,1,7,42,42
19,1,61,1,1,6,42,42
19,1,92,1,1,6,36,36
19,1,92,1,2,6,36,40
19,1,92,1,2,6,36,40
19,1,92,1,2,5,30,40
19,1,52,47,1,6,42,42
19,1,61,1,1,7,42,42
19,1,61,1,1,6,36,40
19,1,83,49,1,7,42,42
19,1,23,85,1,8,40,40
19,1,61,1,1,6,36,40
19,1,61,1,1,6,36,40
19,1,61,1,1,6,36,40
19,1,61,1,1,6,36,40
19,1,83,49,1,6,30,40
19,1,83,49,1,7,42,42
19,1,52,56,1,7,42,42
19,1,52,47,1,7,42,42
19,1,92,1,2,5,30,30
19,1,83,49,1,7,42,42
19,1,52,56,1,7,42,42
19,1,92,1,2,5,30,30
19,1,52,56,1,7,42,42
19,1,61,1,1,6,36,40
19,1,61,1,1,6,36,36
19,1,92,1,2,5,30,40
19,1,95,47,1,6,36,36
19,1,53,85,1,8,16,40
19,1,53,85,1,8,16,40
19,1,53,85,1,8,16,40
19,1,83,49,1,5,30,30
19,1,95,47,1,5,30,30
19,1,61,1,1,6,36,40
19,1,61,1,1,4,20,35
19,1,52,47,1,7,49,49
19,1,61,1,1,6,36,40
19,1,52,47,1,7,49,49
19,1,83,49,1,7,42,42
19,1,92,1,1,6,36,40
19,1,61,1,1,6,42,42
19,1,61,1,1,6,36,40
19,1,83,49,1,7,42,42
19,3,52,47,1,9,63,63
19,3,93,47,1,6,42,42
19,3,93,47,1,6,42,42
19,1,83,49,1,7,42,42
19,1,23,85,1,8,40,40
19,3,52,47,1,9,63,63
19,3,93,47,1,6,36,36
19,1,52,47,1,8,48,48
19,1,93,47,1,8,48,48
19,1,83,49,1,6,42,42
19,3,52,47,1,8,63,63
19,3,93,47,1,5,25,25
19,3,52,47,1,9,63,63
19,3,93,47,1,9,63,63
19,1,83,49,1,7,42,42
19,1,52,47,1,7,42,42
19,3,52,47,1,8,49,49
19,1,52,47,1,8,49,49
19,1,22,86,1,8,40,40
19,1,93,47,1,8,49,49
19,1,83,49,1,6,42,42
19,1,52,47,1,8,56,56
19,1,52,47,1,8,56,56
19,1,52,47,2,2,10,10
19,1,52,47,2,8,16,16
19,1,62,3,1,7,49,49
19,1,23,85,1,8,40,40
19,1,95,47,1,4,28,28
19,1,52,47,2,6,42,42
19,1,52,47,1,8,56,56
19,1,91,96,1,8,48,48
19,1,54,84,1,8,56,56
19,1,93,10,2,12,84,84
19,1,83,49,1,8,48,50
19,3,52,47,1,8,56,56
19,1,93,49,1,7,49,49
19,3,52,47,2,6,12,12
19,3,52,47,2,2,14,14
19,1,52,47,1,8,56,56
19,1,71,41,2,8,48,48
19,1,91,96,2,5,20,25
19,1,53,96,2,8,48,48
19,1,52,56,2,3,18,18
19,1,52,47,1,6,42,42
19,1,91,45,2,8,16,16
19,1,91,96,2,5,15,17
19,1,96,50,1,6,42,45
19,1,14,56,1,8,56,56
19,1,72,45,2,8,16,16
19,1,94,56,2,1,7,7
19,1,51,56,2,8,16,16
19,1,93,49,1,7,42,44
19,1,52,47,1,5,35,35
19,1,95,47,2,4,28,28
19,3,52,47,1,8,56,56
19,2,52,47,2,8,56,56
19,2,52,47,2,2,14,14
19,3,52,47,2,3,18,18
19,1,51,56,2,5,35,35
19,1,62,3,1,9,63,63
19,1,61,1,1,6,42,42
19,1,92,3,2,9,63,63
19,1,62,3,1,7,49,49
19,1,61,1,2,3,21,21
19,1,92,1,2,2,14,14
19,1,62,3,1,6,42,44
19,1,62,3,1,8,56,56
19,1,61,1,1,4,28,28
19,1,92,1,2,8,16,16
19,1,71,41,1,8,48,48
19,1,32,84,1,8,48,48
19,1,92,2,2,8,56,56
19,1,61,1,1,6,42,42
19,1,61,1,1,5,35,35
19,1,22,86,2,8,48,48
19,1,52,47,1,8,56,56
19,1,52,47,2,8,16,16
19,1,61,1,1,7,49,49
19,1,83,49,1,8,48,48
19,1,61,1,1,6,42,42
19,1,92,1,2,8,16,16
19,1,92,1,2,2,10,10
19,1,52,56,1,8,40,40
19,1,96,52,2,6,42,42
19,1,52,56,2,2,10,10
19,1,61,1,1,5,35,35
19,1,92,1,2,5,35,35
19,1,61,1,1,8,56,56
19,1,11,84,1,8,40,40
19,1,14,56,1,8,48,48
19,1,14,56,1,8,48,48
19,1,11,84,1,6,12,24
19,1,95,47,1,8,48,48
19,1,61,1,1,6,42,42
19,1,92,1,2,6,12,12
19,1,52,47,1,8,56,56
19,1,52,47,2,6,42,42
19,1,52,47,2,8,8,8
19,1,54,80,2,8,48,48
19,1,61,1,1,7,49,49
19,1,92,1,2,6,30,30
19,1,62,16,2,10,20,20
19,1,92,1,2,2,10,10
19,1,92,1,2,6,12,12
19,1,91,45,1,8,48,48
19,1,91,96,2,5,10,10
19,3,52,47,1,7,42,42
19,1,62,3,1,7,49,49
19,1,92,3,2,7,35,40
19,1,62,3,1,6,42,42
19,1,92,3,1,5,30,30
19,1,96,47,1,8,56,56
19,1,62,3,1,8,56,56
19,1,92,3,2,6,42,42
19,1,92,3,2,6,42,42
19,1,92,3,2,7,14,14
19,1,52,47,2,8,16,16
19,1,34,94,1,3,6,6
19,1,95,47,1,8,56,56
19,1,62,3,1,7,49,49
19,1,52,56,1,8,56,56
19,1,92,3,2,7,49,51
19,1,52,47,1,8,56,56
19,1,52,56,2,2,14,14
19,1,52,56,2,8,8,8
19,1,62,3,1,6,42,42
19,1,52,47,1,8,16,16
19,1,92,3,2,6,42,44
19,1,62,3,1,7,49,49
19,1,52,47,1,8,56,56
19,1,52,56,2,3,21,21
19,1,92,3,2,7,14,14
19,1,62,3,1,6,42,46
19,1,31,50,1,8,48,48
19,1,52,47,1,8,56,56
19,1,52,47,1,8,56,56
19,1,62,3,1,8,56,56
19,1,52,47,1,4,28,32
19,1,62,3,1,7,49,49
19,1,91,96,1,8,48,48
19,1,52,56,1,8,56,56
19,1,62,3,1,7,42,42
19,1,52,56,1,3,21,21
19,1,92,3,1,7,49,49
19,1,52,56,2,2,14,14
19,1,62,3,1,7,42,42
19,1,62,3,1,7,42,45
19,1,52,47,1,8,56,56
19,1,83,50,1,8,48,50
19,1,52,56,1,6,42,42
19,1,62,3,1,7,49,49
19,1,52,47,1,8,48,48
19,1,96,50,1,6,42,42
19,1,92,3,2,7,49,49
19,1,52,47,1,2,14,14
19,1,62,3,1,7,49,49
19,1,62,3,1,6,42,45
19,3,52,47,1,8,56,56
19,1,71,41,1,8,48,48
19,1,91,96,2,4,16,20
19,1,52,47,1,8,56,56
19,1,95,47,1,7,49,49
19,1,62,3,1,7,49,49
19,1,92,3,2,5,35,35
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,91,96,1,8,48,48
19,1,92,1,1,5,20,20
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,6,36,36
19,1,92,1,1,6,36,36
19,1,62,3,1,7,42,42
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,5,20,20
19,1,92,1,1,5,20,20
19,1,92,1,1,7,42,42
19,1,92,3,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,6,18,18
19,1,92,1,1,6,18,18
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,5,20,20
19,1,92,1,1,5,20,20
19,1,92,1,1,5,20,20
19,1,62,3,1,7,42,42
19,1,61,1,1,6,30,30
19,3,52,47,1,9,63,63
19,3,93,47,1,9,63,63
19,1,93,47,1,8,48,48
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,62,3,1,7,42,42
19,1,92,1,1,6,36,36
19,1,92,1,1,6,18,18
19,1,92,1,1,6,36,36
19,3,52,47,1,9,63,63
19,1,53,85,1,8,40,40
19,3,93,47,1,6,36,36
19,3,93,47,1,6,36,36
19,1,62,3,1,7,42,42
19,1,91,96,1,6,36,36
19,1,62,3,1,7,42,42
19,1,61,1,1,7,48,48
19,1,71,41,1,7,42,42
19,3,52,47,1,9,63,63
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,6,36,36
19,1,92,1,1,6,18,18
19,1,62,3,1,7,42,42
19,1,41,84,1,8,40,40
19,3,52,47,1,9,63,63
19,3,93,47,1,9,63,63
19,1,61,1,1,6,36,36
19,1,92,1,1,6,36,36
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,54,80,2,8,40,40
19,1,92,1,1,5,20,20
19,1,92,1,1,5,20,20
19,3,52,47,1,9,63,63
19,1,61,1,1,7,42,42
19,3,93,47,1,5,35,35
19,1,92,1,1,5,20,20
19,3,75,10,1,9,63,63
19,3,75,10,1,9,63,63
19,1,75,10,1,9,63,63
19,1,61,1,1,6,36,36
19,1,62,3,1,7,42,42
19,1,91,96,1,7,42,42
19,1,92,3,1,7,42,42
19,1,91,96,1,6,36,36
19,1,83,96,1,6,36,36
19,1,52,47,1,7,42,42
19,1,62,3,1,7,42,42
19,1,61,1,1,7,42,42
19,1,92,1,1,6,36,36
19,1,61,1,1,7,42,42
19,1,92,1,1,6,36,36
19,1,61,1,1,6,36,36
19,1,62,3,1,7,42,42
19,1,61,1,1,7,42,42
19,1,92,1,1,6,36,36
19,1,53,85,1,8,40,40
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,62,3,1,7,42,42
19,1,32,84,1,8,40,40
19,1,62,3,1,7,42,42
19,1,61,1,1,7,42,42
19,1,92,3,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,61,1,1,6,36,36
19,1,92,1,1,6,36,36
19,1,96,52,1,6,36,36
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,62,3,1,7,42,42
19,3,52,47,1,9,63,63
19,3,52,47,1,9,63,63
19,1,71,41,1,7,48,48
19,3,93,47,1,9,63,63
19,3,93,47,1,5,30,30
19,3,93,47,1,5,30,30
19,3,52,47,1,9,63,63
19,1,62,3,1,6,36,36
19,1,62,3,1,7,42,42
19,3,52,47,1,8,63,63
19,3,93,47,1,5,25,25
19,3,93,47,1,5,25,25
19,3,93,47,1,8,63,63
19,1,62,3,1,7,42,42
19,1,92,3,1,7,42,42
19,1,62,3,1,7,42,42
19,1,92,3,1,7,42,42
19,1,92,3,1,6,36,36
19,1,92,3,1,6,36,36
19,1,62,3,1,7,42,42
19,1,91,96,1,7,42,42
19,1,92,3,1,7,42,42
19,1,91,96,1,6,36,36
19,1,92,3,1,7,42,42
19,1,92,3,1,6,36,36
19,1,62,3,1,6,36,36
19,1,91,96,1,7,42,42
19,1,92,3,1,7,42,42
19,1,92,3,1,7,42,42
19,1,92,3,1,6,36,36
19,1,93,41,2,7,42,42
19,1,61,1,1,6,36,36
19,1,61,1,1,7,42,42
19,1,62,3,1,7,42,42
19,1,91,96,1,7,42,42
19,1,92,3,1,7,42,42
19,1,62,3,1,7,42,42
19,1,52,47,1,7,42,42
19,1,92,3,1,5,25,25
19,1,61,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,92,1,1,7,42,42
19,1,52,47,1,7,42,42
19,1,93,41,2,8,48,48
19,1,93,41,2,8,48,48
19,1,75,14,1,6,36,36
19,1,75,14,1,6,36,36
19,1,71,16,2,8,48,48
19,1,52,47,1,6,36,36
19,1,71,16,2,8,48,48
19,1,52,56,1,6,36,36
19,1,93,41,2,8,48,48
19,1,75,14,1,6,36,36
19,1,71,41,2,8,48,48
19,1,95,56,1,8,40,40
19,1,71,16,2,8,48,48
19,1,93,41,2,8,48,48
19,1,92,3,2,6,36,36
19,1,75,14,1,8,48,48
19,1,93,41,2,8,48,48
19,1,92,3,2,6,36,36
19,1,71,16,2,8,48,48
19,1,71,16,2,8,48,48
19,1,75,14,1,6,36,36
19,1,52,56,2,6,36,36
19,1,93,41,2,8,48,48
19,1,62,1,2,8,40,40
19,1,52,56,2,6,36,36
19,1,71,16,2,8,48,48
19,1,75,14,1,6,36,36
19,1,93,41,2,8,48,48
19,1,52,56,2,6,36,36
19,1,74,43,2,6,36,36
19,1,74,43,2,6,36,36
19,1,52,56,2,6,36,36
19,1,93,41,2,8,48,48
19,1,71,16,2,8,48,48
19,1,75,14,1,7,42,42
19,1,93,41,2,8,48,48
19,1,52,56,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,61,1,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,75,14,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,75,14,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,61,1,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,75,14,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,75,14,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,5,30,30
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,75,14,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,30,30
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,75,14,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,5,30,30
19,1,62,3,2,5,30,30
19,1,62,3,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,30,30
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,6,36,36
19,1,62,3,2,6,42,42
19,1,62,3,2,6,42,42
19,1,62,3,2,5,35,40
19,1,62,3,2,5,37,40
19,1,62,3,2,5,35,42
19,1,61,1,2,5,35,42
19,1,52,47,2,8,48,48
19,1,61,1,1,6,36,36
19,1,52,47,1,10,70,70
19,1,62,1,1,7,42,42
19,1,62,3,1,6,36,36
19,1,62,3,1,6,42,42
19,1,62,3,2,5,30,30
19,1,62,3,1,8,40,40
19,1,62,3,1,8,40,40
19,1,91,96,2,8,48,48
19,1,52,47,1,10,70,70
19,1,71,41,1,8,48,48
19,1,62,3,1,6,36,36
19,1,62,3,1,5,35,40
19,1,62,3,2,5,30,30
19,1,62,3,1,5,35,40
19,1,71,41,2,8,48,48
19,1,62,3,1,5,35,40
19,1,62,3,1,6,36,36
19,1,62,3,1,6,36,36
19,1,62,3,1,6,30,40
19,1,62,3,2,5,30,30
19,2,52,47,2,8,40,40
19,1,71,16,2,8,48,48
19,1,62,3,2,6,36,40
19,1,62,3,1,6,30,40
19,1,91,96,2,8,48,48
19,1,62,3,2,5,35,35
19,1,62,3,1,6,36,42
19,1,62,3,1,8,40,40
19,1,93,41,2,8,48,48
19,1,62,3,1,6,36,36
19,1,62,3,2,5,35,35
19,1,62,3,1,6,42,42
19,1,62,3,1,6,42,42
19,1,62,3,2,5,35,35
19,1,62,3,1,6,42,42
19,1,62,3,1,8,40,40
19,1,62,3,1,6,42,42
19,1,62,3,1,6,30,40
19,1,62,3,1,5,35,40
19,1,12,47,1,8,48,48
19,1,62,3,1,5,35,35
19,1,62,3,1,5,35,40
19,1,62,3,1,5,35,40
19,1,62,3,1,6,42,42
19,1,61,1,1,6,42,42
19,1,62,1,1,8,40,40
19,1,62,3,1,4,28,32
19,1,61,1,1,6,42,42
19,1,61,1,1,6,36,40
19,1,61,1,1,6,42,42
19,1,71,41,2,8,48,48
19,1,61,1,1,5,35,40
19,1,61,1,1,6,42,42
19,1,93,41,1,8,48,48
19,1,62,3,1,5,30,40
19,1,62,3,2,5,30,30
19,1,93,41,2,8,48,48
19,1,62,1,1,6,36,42
19,1,61,1,1,5,35,35
19,1,62,3,1,5,30,40
19,1,61,1,1,5,35,40
19,1,61,1,1,7,42,42
19,1,92,1,1,4,12,12
19,1,61,1,1,6,36,36
19,1,92,1,1,3,12,12
19,1,61,1,1,7,42,48
19,1,92,1,1,3,12,12
19,1,61,1,1,6,36,48
19,1,92,1,1,3,12,12
19,1,52,56,1,6,30,30
19,1,92,1,1,3,12,12
19,1,61,1,1,7,42,42
19,1,53,85,1,8,16,16
19,1,92,1,1,5,10,10
19,1,92,1,1,5,10,10
19,1,92,1,1,5,10,10
19,1,61,1,1,7,42,42
19,1,92,1,1,3,15,15
19,1,92,1,1,4,8,8
19,1,92,1,1,4,8,8
19,1,61,1,1,6,36,48
19,1,92,1,1,3,12,12
19,1,61,1,1,7,42,42
19,1,92,1,1,3,15,15
19,1,92,1,1,3,15,15
19,1,92,1,1,3,6,6
19,1,92,1,1,4,8,8
19,1,92,1,1,3,6,6
19,1,92,1,1,4,8,8
19,1,92,1,1,3,6,6
19,1,61,1,1,7,42,42
19,1,92,1,1,3,12,12
19,1,92,1,1,7,14,14
19,1,92,1,1,5,10,10
19,1,61,1,1,5,35,35
19,1,92,1,1,3,12,12
19,1,92,1,1,4,16,16
19,1,92,1,1,4,16,16
19,1,61,1,1,6,36,36
19,1,92,1,1,2,8,8
19,1,95,47,1,6,42,42
19,1,52,56,1,5,30,30
19,1,61,1,1,6,36,48
19,1,53,85,1,8,16,16
19,1,61,1,1,6,36,36
19,1,92,1,1,4,12,12
19,1,92,1,1,4,15,15
19,1,92,1,1,3,12,12
19,1,61,1,1,6,35,35
19,1,92,1,1,5,35,35
19,1,83,49,1,8,48,48
19,1,52,56,1,6,30,30
19,1,61,1,1,6,36,36
19,1,92,1,1,3,15,15
19,1,61,1,1,7,42,42
19,1,92,1,1,4,16,16
19,1,92,1,1,4,16,16
19,1,92,1,1,3,12,12
19,1,92,1,1,8,16,16
19,1,61,1,1,6,36,36
19,1,92,1,1,3,15,15
19,1,61,1,1,7,42,42
19,1,92,1,1,4,8,8
19,1,92,1,1,4,8,8
19,1,92,1,1,5,10,10
19,1,92,1,1,8,48,48
19,1,91,96,1,8,48,48
19,1,92,1,1,8,16,16
19,1,52,47,1,8,48,48
19,1,52,47,1,8,48,48
19,1,61,1,1,7,42,42
19,1,92,1,1,3,9,9
19,1,91,96,1,8,48,48
19,1,61,1,1,6,36,36
19,1,92,1,1,3,15,15
19,1,83,49,1,8,48,48
19,1,52,56,1,6,30,30
19,1,61,1,1,6,36,36
19,1,92,1,1,4,12,12
19,1,92,1,1,4,8,8
19,1,92,1,1,4,8,8
19,1,92,1,1,4,8,8
19,1,61,1,1,6,36,36
19,1,92,1,1,4,12,12
19,1,54,80,1,8,48,48
19,1,91,96,1,8,48,48
19,1,61,1,1,6,36,36
19,1,92,1,1,4,12,12
19,1,61,1,1,6,36,48
19,1,92,1,1,2,10,10
19,1,52,47,1,10,70,70
19,1,52,47,1,10,60,60
19,1,24,84,1,8,40,40
19,1,52,47,1,5,25,25
19,1,61,1,1,5,25,25
19,1,52,56,1,6,36,36
19,1,52,47,1,9,63,63
19,1,42,84,1,8,40,40
19,1,54,80,1,10,60,60
19,1,83,49,1,10,60,60
19,3,52,47,1,10,70,70
19,3,52,47,1,10,70,70
19,3,52,47,1,5,25,25
19,1,83,49,1,10,70,70
19,1,52,47,1,5,30,30
19,1,52,47,1,5,30,30
19,1,83,49,1,9,63,63
19,1,83,49,1,10,70,70
19,1,52,47,1,8,48,48
19,1,21,84,1,8,40,40
19,1,52,47,1,10,70,70
19,1,52,47,1,5,35,35
19,1,83,49,1,10,70,70
19,1,83,49,1,10,70,70
19,1,26,84,1,8,48,48
19,1,33,84,1,8,40,40
19,1,14,56,1,8,48,48
19,1,51,56,1,8,48,48
19,1,52,47,1,9,63,63
19,1,52,47,1,9,63,63
19,1,83,49,1,9,54,54
19,1,41,84,1,8,40,40
19,1,22,84,1,8,48,48
19,1,23,84,1,8,40,40
19,1,52,47,1,9,63,63
19,1,52,47,1,9,63,63
19,3,52,47,1,10,70,70
19,3,52,47,1,5,35,35
19,1,41,84,1,8,40,40
19,1,83,49,1,9,63,63
19,1,93,41,1,8,42,42
19,1,91,84,1,8,40,40
19,1,52,56,1,7,42,42
19,1,52,56,2,6,36,36
19,1,83,49,1,8,48,48
19,1,52,56,1,7,42,42
19,1,93,41,1,8,48,48
19,1,91,96,1,9,54,54
19,1,83,49,1,7,42,42
19,1,93,49,1,8,48,48
19,1,52,56,1,7,42,42
19,1,52,56,2,5,20,20
19,3,52,47,1,9,54,54
19,1,83,49,1,9,63,63
19,1,93,41,1,8,48,48
19,1,52,47,1,5,35,35
19,1,52,47,1,5,35,35
19,1,83,49,1,9,54,54
19,3,52,47,1,10,60,60
19,3,52,47,1,5,35,35
19,1,52,47,1,9,63,63
19,1,52,47,1,9,63,63
19,1,93,41,1,10,70,70
19,1,52,56,1,6,36,36
19,1,52,56,1,6,36,36
19,1,54,80,1,10,60,60
19,1,41,84,1,8,40,40
19,1,52,47,1,8,48,48
19,3,52,47,1,10,60,60
19,1,54,84,1,8,40,40
19,1,61,1,1,5,25,25
19,3,52,47,1,10,70,70
19,1,83,49,1,9,63,63
19,1,61,1,1,6,36,36
19,3,52,47,1,8,49,49
19,1,83,49,1,8,49,49
19,1,61,1,1,8,48,48
19,1,92,1,2,6,30,30
19,1,83,49,1,8,48,48
19,3,52,47,1,8,48,48
19,3,52,47,1,8,40,40
19,3,52,47,1,8,40,40
19,1,83,49,1,8,48,48
19,3,52,47,2,8,16,16
19,1,83,49,1,8,48,48
19,3,52,47,1,8,48,48
19,1,83,49,1,8,50,50
19,3,52,47,1,8,45,45
19,1,83,49,1,8,48,48
19,1,11,84,2,8,40,40
19,3,52,47,1,8,40,40
19,1,61,1,1,6,36,36
19,1,52,47,2,8,40,40
19,1,72,45,2,8,48,48
19,1,83,49,1,8,48,48
19,3,52,47,1,8,48,48
19,3,52,47,1,8,50,50
19,3,52,47,1,8,40,40
19,1,93,41,1,8,48,48
19,1,83,49,1,8,48,48
19,1,83,49,1,8,48,48
19,3,52,47,1,9,54,54
19,3,52,47,2,8,16,16
19,1,61,1,1,7,42,42
19,1,92,1,1,5,30,30
19,1,83,49,1,8,48,48
19,1,61,1,1,7,42,42
19,1,92,1,2,6,24,24
19,1,92,1,2,7,42,42
19,3,52,47,1,8,40,40
19,3,52,47,1,9,54,54
19,1,31,43,1,8,48,48
19,3,52,47,1,9,54,54
19,1,83,49,1,8,48,48
19,3,52,47,1,8,48,48
19,1,83,49,1,8,48,48
19,3,52,47,1,8,48,48
19,1,83,49,1,8,48,48
19,3,52,47,2,6,36,36
19,1,83,49,1,8,48,48
19,3,52,47,1,9,54,54
19,1,83,49,1,8,48,48
19,1,62,2,1,7,42,42
19,1,83,49,1,8,48,48
19,1,62,3,1,7,42,42
19,3,52,47,1,9,54,54
19,3,52,47,2,5,15,15
19,1,62,3,1,7,42,42
19,1,93,41,2,8,48,48
19,1,52,47,2,7,42,42
19,1,71,16,1,8,48,48
19,3,52,47,1,8,48,48
19,1,83,49,2,8,16,16
19,3,52,47,1,9,54,54
19,3,52,47,2,5,15,15
19,1,93,41,1,8,48,48
19,1,91,96,1,8,48,48
19,1,23,85,1,8,40,40
19,3,52,47,1,9,54,54
19,1,93,41,1,7,35,48
19,3,52,47,1,9,54,54
19,1,23,85,1,8,40,40
19,1,62,3,1,7,42,42
19,3,52,47,1,9,54,54
19,3,52,47,2,5,15,15
19,3,52,47,2,5,10,10
19,1,54,84,2,8,40,48
19,1,93,41,1,8,48,48
19,1,83,49,1,8,48,48
19,1,52,56,1,7,42,42
19,3,52,47,1,8,48,48
19,1,91,84,1,8,40,40
19,3,52,47,1,5,15,15
19,1,62,3,1,7,42,48
19,1,83,49,2,8,48,48
19,3,52,47,2,5,10,10
19,1,83,49,1,8,48,48
19,3,52,47,1,9,54,54
19,3,52,47,2,5,15,15
19,1,62,3,1,7,42,42
19,3,52,47,1,9,54,54
19,1,83,49,1,8,48,48
19,1,52,47,2,8,48,48
19,3,52,47,2,5,10,10
19,1,62,3,1,7,42,48
19,1,52,56,2,7,42,42
19,1,62,3,2,8,48,48
19,1,62,3,1,8,40,48
19,3,52,47,1,9,54,54
19,3,52,47,2,5,20,20
19,1,83,49,1,8,48,48
19,1,52,47,2,7,42,42
19,1,61,1,1,7,42,42
19,3,52,47,1,9,54,54
19,3,52,47,2,5,15,15
19,3,52,47,2,5,15,15
19,3,52,47,2,5,10,10
19,1,83,49,1,8,48,48
